Document_No,Dominant_Topic,media,political elite,other,public
147,3.0,0,0,0,1
148,3.0,0,0,0,1
149,3.0,0,0,0,1
150,2.0,0,0,0,1
1771,2.0,0,0,0,1
151,3.0,0,0,0,1
152,3.0,0,0,0,1
153,3.0,0,0,0,1
154,3.0,0,0,0,1
5091,3.0,0,0,0,1
155,3.0,0,0,0,1
156,3.0,0,0,0,1
157,3.0,0,0,0,1
852,3.0,0,0,0,1
158,3.0,0,0,0,1
9403,3.0,0,0,0,1
159,3.0,0,0,0,1
160,0.0,0,0,0,1
183,1.0,0,0,0,1
5079,2.0,0,0,0,1
161,3.0,0,0,0,1
162,3.0,0,0,0,1
163,3.0,0,0,0,1
8934,3.0,0,0,0,1
164,3.0,0,0,0,1
1363,3.0,0,0,0,1
165,1.0,0,0,0,1
166,3.0,0,0,0,1
167,3.0,0,0,0,1
168,3.0,0,0,0,1
169,3.0,0,0,0,1
170,3.0,0,0,0,1
171,3.0,0,0,0,1
172,3.0,0,0,0,1
173,3.0,0,0,0,1
174,0.0,0,0,0,1
2178,4.0,0,0,0,1
175,3.0,0,0,0,1
176,3.0,0,0,0,1
4627,2.0,0,0,0,1
5019,3.0,0,0,0,1
177,3.0,0,0,0,1
5398,3.0,0,0,0,1
178,3.0,0,0,0,1
179,3.0,0,0,0,1
5320,3.0,0,0,0,1
180,3.0,0,0,0,1
5051,2.0,0,0,0,1
8265,3.0,0,0,0,1
9579,3.0,0,0,0,1
181,3.0,0,0,0,1
182,3.0,0,0,0,1
3885,1.0,0,0,0,1
184,3.0,0,0,0,1
185,3.0,0,0,0,1
186,3.0,0,0,0,1
187,3.0,0,0,0,1
188,3.0,0,0,0,1
189,3.0,0,0,0,1
313,3.0,0,0,0,1
3398,4.0,0,0,0,1
190,3.0,0,0,0,1
3225,4.0,0,0,0,1
4914,3.0,0,0,0,1
11453,2.0,0,0,0,1
191,2.0,0,0,0,1
192,3.0,0,0,0,1
193,3.0,0,0,0,1
194,3.0,0,0,0,1
195,3.0,0,0,0,1
196,3.0,0,0,0,1
197,3.0,0,0,0,1
198,3.0,0,0,0,1
199,3.0,0,0,0,1
200,3.0,0,0,0,1
201,3.0,0,0,0,1
639,1.0,0,0,0,1
5105,3.0,0,0,0,1
7022,3.0,0,0,0,1
10148,3.0,0,0,0,1
202,3.0,0,0,0,1
203,3.0,0,0,0,1
204,3.0,0,0,0,1
205,3.0,0,0,0,1
206,3.0,0,0,0,1
207,3.0,0,0,0,1
208,3.0,0,0,0,1
209,2.0,0,0,0,1
225,2.0,0,0,0,1
12633,3.0,0,0,0,1
210,3.0,0,0,0,1
1439,1.0,0,0,0,1
211,3.0,0,0,0,1
212,3.0,0,0,0,1
213,3.0,0,0,0,1
214,3.0,0,0,0,1
215,3.0,0,0,0,1
216,3.0,0,0,0,1
1455,3.0,0,0,0,1
217,3.0,0,0,0,1
218,3.0,0,0,0,1
219,3.0,0,0,0,1
220,3.0,0,0,0,1
221,3.0,0,0,0,1
222,3.0,0,0,0,1
223,3.0,0,0,0,1
224,3.0,0,0,0,1
226,0.0,0,0,0,1
227,3.0,0,0,0,1
228,2.0,0,0,0,1
11593,2.0,0,0,0,1
12634,3.0,0,0,0,1
229,3.0,0,0,0,1
230,3.0,0,0,0,1
3108,3.0,0,0,0,1
8956,3.0,0,0,0,1
231,3.0,0,0,0,1
232,3.0,0,0,0,1
233,3.0,0,0,0,1
234,3.0,0,0,0,1
237,3.0,0,0,0,1
235,3.0,0,0,0,1
236,3.0,0,0,0,1
238,3.0,0,0,0,1
239,3.0,0,0,0,1
240,3.0,0,0,0,1
241,3.0,0,0,0,1
1458,4.0,0,0,0,1
5120,2.0,0,0,0,1
6138,3.0,0,0,0,1
242,3.0,0,0,0,1
243,3.0,0,0,0,1
244,3.0,0,0,0,1
245,3.0,0,0,0,1
246,3.0,0,0,0,1
247,0.0,0,0,0,1
248,3.0,0,0,0,1
249,3.0,0,0,0,1
250,3.0,0,0,0,1
251,2.0,0,0,0,1
349,2.0,0,0,0,1
252,3.0,0,0,0,1
253,3.0,0,0,0,1
254,3.0,0,0,0,1
255,3.0,0,0,0,1
256,3.0,0,0,0,1
11547,2.0,0,0,0,1
257,3.0,0,0,0,1
6925,2.0,0,0,0,1
8819,3.0,0,0,0,1
9333,1.0,0,0,0,1
258,3.0,0,0,0,1
259,3.0,0,0,0,1
1030,3.0,0,0,0,1
260,0.0,0,0,0,1
261,3.0,0,0,0,1
262,3.0,0,0,0,1
5847,3.0,0,0,0,1
263,0.0,0,0,0,1
264,3.0,0,0,0,1
265,3.0,0,0,0,1
6551,0.0,0,0,0,1
266,3.0,0,0,0,1
5879,2.0,0,0,0,1
267,2.0,0,0,0,1
268,3.0,0,0,0,1
4997,0.0,0,0,0,1
5368,3.0,0,0,0,1
269,3.0,0,0,0,1
395,3.0,0,0,0,1
4335,3.0,0,0,0,1
11550,2.0,0,0,0,1
270,3.0,0,0,0,1
271,3.0,0,0,0,1
5249,3.0,0,0,0,1
8861,3.0,0,0,0,1
8989,1.0,0,0,0,1
10331,0.0,0,0,0,1
272,3.0,0,0,0,1
273,3.0,0,0,0,1
274,3.0,0,0,0,1
10318,2.0,0,0,0,1
275,3.0,0,0,0,1
2511,3.0,0,0,0,1
2914,3.0,0,0,0,1
276,3.0,0,0,0,1
277,3.0,0,0,0,1
5382,3.0,0,0,0,1
278,3.0,0,0,0,1
279,3.0,0,0,0,1
454,3.0,0,0,0,1
280,3.0,0,0,0,1
4896,3.0,0,0,0,1
8275,4.0,0,0,0,1
281,0.0,0,0,0,1
282,3.0,0,0,0,1
7132,3.0,0,0,0,1
283,3.0,0,0,0,1
284,3.0,0,0,0,1
1612,3.0,0,0,0,1
5060,3.0,0,0,0,1
7450,0.0,0,0,0,1
285,3.0,0,0,0,1
286,3.0,0,0,0,1
287,3.0,0,0,0,1
5464,3.0,0,0,0,1
9686,1.0,0,0,0,1
10108,3.0,0,0,0,1
288,3.0,0,0,0,1
289,0.0,0,0,0,1
4735,2.0,0,0,0,1
290,3.0,0,0,0,1
291,3.0,0,0,0,1
292,3.0,0,0,0,1
293,3.0,0,0,0,1
294,3.0,0,0,0,1
452,3.0,0,0,0,1
3185,0.0,0,0,0,1
295,0.0,0,0,0,1
8530,2.0,0,0,0,1
296,3.0,0,0,0,1
297,3.0,0,0,0,1
298,3.0,0,0,0,1
299,3.0,0,0,0,1
300,3.0,0,0,0,1
301,2.0,0,0,0,1
302,3.0,0,0,0,1
6691,1.0,0,0,0,1
303,1.0,0,0,0,1
304,3.0,0,0,0,1
2200,3.0,0,0,0,1
305,3.0,0,0,0,1
306,4.0,0,0,0,1
307,3.0,0,0,0,1
308,3.0,0,0,0,1
5073,3.0,0,0,0,1
309,3.0,0,0,0,1
874,3.0,0,0,0,1
6663,3.0,0,0,0,1
310,3.0,0,0,0,1
7796,0.0,0,0,0,1
11143,0.0,0,0,0,1
311,3.0,0,0,0,1
6096,3.0,0,0,0,1
312,3.0,0,0,0,1
314,3.0,0,0,0,1
5407,3.0,0,0,0,1
8951,2.0,0,0,0,1
315,1.0,0,0,0,1
316,3.0,0,0,0,1
317,3.0,0,0,0,1
318,3.0,0,0,0,1
6331,3.0,0,0,0,1
8371,0.0,0,0,0,1
319,3.0,0,0,0,1
320,3.0,0,0,0,1
321,0.0,0,0,0,1
771,1.0,0,0,0,1
322,3.0,0,0,0,1
7978,3.0,0,0,0,1
11497,2.0,0,0,0,1
323,0.0,0,0,0,1
324,3.0,0,0,0,1
325,3.0,0,0,0,1
6369,3.0,0,0,0,1
326,3.0,0,0,0,1
5482,3.0,0,0,0,1
5491,3.0,0,0,0,1
327,3.0,0,0,0,1
328,3.0,0,0,0,1
8695,3.0,0,0,0,1
329,3.0,0,0,0,1
330,4.0,0,0,0,1
331,3.0,0,0,0,1
332,0.0,0,0,0,1
10626,2.0,0,0,0,1
333,3.0,0,0,0,1
334,3.0,0,0,0,1
1657,1.0,0,0,0,1
335,3.0,0,0,0,1
336,3.0,0,0,0,1
337,3.0,0,0,0,1
338,3.0,0,0,0,1
339,3.0,0,0,0,1
340,3.0,0,0,0,1
341,3.0,0,0,0,1
5843,3.0,0,0,0,1
342,3.0,0,0,0,1
8355,3.0,0,0,0,1
343,3.0,0,0,0,1
7230,2.0,0,0,0,1
344,0.0,0,0,0,1
345,3.0,0,0,0,1
352,4.0,0,0,0,1
346,3.0,0,0,0,1
2509,3.0,0,0,0,1
12564,4.0,0,0,0,1
347,3.0,0,0,0,1
348,3.0,0,0,0,1
2812,3.0,0,0,0,1
3637,3.0,0,0,0,1
350,3.0,0,0,0,1
351,2.0,0,0,0,1
353,3.0,0,0,0,1
869,3.0,0,0,0,1
354,3.0,0,0,0,1
355,3.0,0,0,0,1
4771,2.0,0,0,0,1
9031,3.0,0,0,0,1
356,4.0,0,0,0,1
357,3.0,0,0,0,1
2813,3.0,0,0,0,1
358,3.0,0,0,0,1
359,2.0,0,0,0,1
360,3.0,0,0,0,1
361,3.0,0,0,0,1
5543,3.0,0,0,0,1
362,3.0,0,0,0,1
10543,1.0,0,0,0,1
363,4.0,0,0,0,1
364,3.0,0,0,0,1
365,4.0,0,0,0,1
366,3.0,0,0,0,1
367,3.0,0,0,0,1
368,3.0,0,0,0,1
369,3.0,0,0,0,1
370,4.0,0,0,0,1
10285,0.0,0,0,0,1
371,3.0,0,0,0,1
372,3.0,0,0,0,1
373,3.0,0,0,0,1
374,3.0,0,0,0,1
375,3.0,0,0,0,1
376,3.0,0,0,0,1
377,2.0,0,0,0,1
378,3.0,0,0,0,1
379,3.0,0,0,0,1
5676,3.0,0,0,0,1
5722,3.0,0,0,0,1
380,3.0,0,0,0,1
381,3.0,0,0,0,1
10380,0.0,0,0,0,1
382,3.0,0,0,0,1
383,3.0,0,0,0,1
384,3.0,0,0,0,1
12842,2.0,0,0,0,1
385,3.0,0,0,0,1
386,3.0,0,0,0,1
8974,2.0,0,0,0,1
9475,1.0,0,0,0,1
9476,1.0,0,0,0,1
387,3.0,0,0,0,1
388,3.0,0,0,0,1
389,3.0,0,0,0,1
390,3.0,0,0,0,1
391,3.0,0,0,0,1
392,3.0,0,0,0,1
1041,4.0,0,0,0,1
393,3.0,0,0,0,1
394,3.0,0,0,0,1
396,3.0,0,0,0,1
397,1.0,0,0,0,1
3291,4.0,0,0,0,1
10240,3.0,0,0,0,1
398,3.0,0,0,0,1
6794,3.0,0,0,0,1
399,3.0,0,0,0,1
8773,1.0,0,0,0,1
400,3.0,0,0,0,1
886,3.0,0,0,0,1
401,3.0,0,0,0,1
402,3.0,0,0,0,1
5575,0.0,0,0,0,1
11592,3.0,0,0,0,1
403,3.0,0,0,0,1
404,1.0,0,0,0,1
