菅総理がフクイチを視察した際、立ち並ぶ汚染水タンク群を見て、汚染水放出による汚染拡大や風評被害拡大より保管の膨大なコスト削減を優先したものと思われる。内閣の基本方針から原発事故の復興が削除された以上、新自由主義を標榜する冷徹冷酷総理の当然の判断がなされたといえる。,2.0,"韓国, 日本, 科学, 世界, 事実, 日本_産_水産物, 輸入_全面_中止, 韓国_国会_議長, 評価_拒絶, 中国"
海洋放出、月内にも決定原発処理水で政府方針、反発必至：北海道新聞どうしん電子版https://t.co/3Sxv2e1oH2,0.0,"政府, 決定, 方針, 処分, 月内, 首相, 来月, 延期, 責任, 決める"
内閣発足㉗県紙は日本郵便訴訟の最高裁判決が1面トップ。ヘソに福１原発処理水を海洋放出へ。3面焦点で菅首相就任1ヶ月の課題。3社で非正規待遇格差５訴訟の最高裁判決を解説。労働の格差と分断が進む日本。移民流入問題を含め日本の雇用は今後どうなる？#非正規#待遇#最高裁#格差#信毎#16日付,2.0,"韓国, 日本, 科学, 世界, 事実, 日本_産_水産物, 輸入_全面_中止, 韓国_国会_議長, 評価_拒絶, 中国"
@shin19infinityこのじいさん、原発事故を忘れたんじゃないの？原発敷地内に保養地でも建てて、汚染水の風呂に浸からせたらええ。,4.0,"トリチウム, 海, 事故, 流す, 反対, 含む, 放射, 東京電力, 物質, 放射能"
汚染水の海洋流出は阻止しなければならない。原発ももう必要ないと声を大にして言おうよ代替えエネルギーを推進してエコ関連株にも投資しよう。https://t.co/6PdHOJ6Nuh#グリーンピース#fukushima#エコエネルギー#ソーラー,1.0,"風評, 被害, 反対, 問題, 菅, 国民, 漁業, 政権, 意見, 対策"
🤔原発処理水の海洋放出決定へ#Yahooニュースhttps://t.co/NFEX0UpEC1,0.0,"政府, 決定, 方針, 処分, 月内, 首相, 来月, 延期, 責任, 決める"
放射能を薄めて放出してもダメです！汚染処理水の海洋放出決定へ政府方針、月内にも福島第1原発-毎日新聞https://t.co/gyAXqUkC9R,0.0,"政府, 決定, 方針, 処分, 月内, 首相, 来月, 延期, 責任, 決める"
文系の私は、トリチウムが三重水素だと知らないし、三重水素と言われても良く分からないし、イギリスやフランスやアメリカや韓国などが三重水素を海中や大気中に毎年大量に(福島の原発から出た処理水の合計の数倍から十数倍)放出していることを知らないし、つづく,4.0,"トリチウム, 海, 事故, 流す, 反対, 含む, 放射, 東京電力, 物質, 放射能"
@YahooNewsTopics閉鎖系にして、この処理水を原発に戻す事は出来ないのか,3.0,"大阪, 東京, 湾, 知事, 必要, 言及, 韓, 発, 吉村, 水吉"
韓国こそ、原発処理水を日本海に流している！韓国に厳罰を下そう！,2.0,"韓国, 日本, 科学, 世界, 事実, 日本_産_水産物, 輸入_全面_中止, 韓国_国会_議長, 評価_拒絶, 中国"
引用「トリチウムは原発の通常の運転でも発生し、放射能が微弱なので薄めて海に流すことが世界の原発で一般化されているからだ。こうした科学的特性や国際的な処理方法に照らせば（略）最も現実的な処分方法は、海洋放出である」【主張】原発処理水「風評」の克服に全力注げhttps://t.co/ga12Kf4dh9,4.0,"トリチウム, 海, 事故, 流す, 反対, 含む, 放射, 東京電力, 物質, 放射能"
韓国は福島原発の処理水放出に懸念を表明、でも…⇒韓国の原発は、福島で貯蔵されている処理水に含まれるトリチウムの約６倍の量を、日本海に海洋放出してきた。https://t.co/Jzf0etx5kN,4.0,"トリチウム, 海, 事故, 流す, 反対, 含む, 放射, 東京電力, 物質, 放射能"
@koikeakiraダブルスタンダード😵福島原発処理水共産党が言えば汚染水科学者は言えば処理水そして自分達の都合のいい時だけ⤵️科学者の声に耳を傾けない政治はいけない‼️こういうことをダブルスタンダードと世間では言います💢,2.0,"韓国, 日本, 科学, 世界, 事実, 日本_産_水産物, 輸入_全面_中止, 韓国_国会_議長, 評価_拒絶, 中国"
いやマジでこれは本気でシャレならん案件だぜ😡😡😡😡😡😡国民みんなで声上げまくりで反対しないとクソ政府のせいで世界中から孤立するぞ💢汚染処理水の海洋放出決定へ政府方針、月内にも福島第1原発-毎日新聞https://t.co/rcvFbGIjbG,0.0,"政府, 決定, 方針, 処分, 月内, 首相, 来月, 延期, 責任, 決める"
国連、日本に汚染水の海洋放出に関する決定の先延ばしを求める福島第１原発-Sputnik日本https://t.co/DCnaKGcZmW,0.0,"政府, 決定, 方針, 処分, 月内, 首相, 来月, 延期, 責任, 決める"
核のゴミの最終処分場も大阪に誘致してみては。莫大な金落ちて来るよ。福島第1原発処理水吉村知事が大阪湾放出に再言及「1発目放出が必要」-毎日新聞https://t.co/Cys9lfrTkx,3.0,"大阪, 東京, 湾, 知事, 必要, 言及, 韓, 発, 吉村, 水吉"
是非東京湾に放出してください！原発処理水の海洋放出決定へ2020年10月15日https://t.co/HqNB2sMa09,3.0,"大阪, 東京, 湾, 知事, 必要, 言及, 韓, 発, 吉村, 水吉"
30年後、５０年後に『責任』を追求されるのは処理水を放出した政府ではなく『非科学的なデマを垂れ流し福島の復興を妨害した反原発派』であることは今から明記すべき。,1.0,"風評, 被害, 反対, 問題, 菅, 国民, 漁業, 政権, 意見, 対策"
福島県内４２議会から海洋放出反対・慎重対応求める意見書が出され、意見聴取でも反対意見が次々出され、それでも菅政権は放射性汚染水の海洋放出をするというのか。「民報」「赤旗」は全漁連を軸に報道。「民友」は原発敷地から放出方針である事をスクープ。#汚染水の海洋放出決定に反対しますhttps://t.co/ah0SL9AJi4,1.0,"風評, 被害, 反対, 問題, 菅, 国民, 漁業, 政権, 意見, 対策"
汚染水の海洋放出がすぐにでも決定しそうだというニュースがBBCでも伝えられた。しかし今まで批判的だったBBCが最近はこの問題を擁護する傾向にあり、ましてや原発支持を訴え始めてる。続Fukushima:Japan'toreleasecontaminatedwaterintosea'https://t.co/gJwpCrgDeC,4.0,"トリチウム, 海, 事故, 流す, 反対, 含む, 放射, 東京電力, 物質, 放射能"
@rintakoWorks@kazukunkun3「トリチウム水危険性」で検索してます。石川県平和運動センターサイト内の「トリチウムの危険性――汚染水海洋放出、原発再稼働、再処理工場稼働への動きの中で改めて問われるその健康被害」出てくるかと思います。トリチウムの説明と健康被害の項目は分かりやすく、大変参考になりました。,4.0,"トリチウム, 海, 事故, 流す, 反対, 含む, 放射, 東京電力, 物質, 放射能"
「処理済み汚染水」⇒トリチウム水の海洋放出は多くの国で実施「汚染水」と言うなら日本の8倍放出の韓国に言え健康被害の実例も示さず福島の風評被害を拡散する嘘つき朝日中国韓国が原発輸出競争太陽光利権の還付金獲得競争🐴🦌左翼が日本の原発を貶めるのは中韓の為https://t.co/t1qZhKZWqthttps://t.co/oLUy4BFru1,4.0,"トリチウム, 海, 事故, 流す, 反対, 含む, 放射, 東京電力, 物質, 放射能"
原発って‼️吹き出しました。マジでジジイ達の脳味噌。停止しとるわ。処理水を海に垂れ流すって話ですらあり得ないのに‼️まだ原発推進かよ。#スガ政権の退陣を求めます,4.0,"トリチウム, 海, 事故, 流す, 反対, 含む, 放射, 東京電力, 物質, 放射能"
国内メディアは１６日、政府が東京電力福島第１原子力発電所にたまる処理水を海に放出する方針を固め月内にも正式決定すると報じた。敢えて「処理水」を放出すると表明する意味は何か？,0.0,"政府, 決定, 方針, 処分, 月内, 首相, 来月, 延期, 責任, 決める"
(汚染水を)東京で放出するんだったら福島原発の電源損失させた安倍んちの前だろうがhttps://t.co/bI54sTSbyvhttps://t.co/NVhDz6W9v5,1.0,"風評, 被害, 反対, 問題, 菅, 国民, 漁業, 政権, 意見, 対策"
｢温室効果ガスゼロ2050年目標｣などは無責任の極み。目前の緊急課題の福島原発事故の放射能汚染水の処理もままならず、海洋放流と言う暴挙を隠ぺいし原発再稼働も正当化する悪質な企みだ#温室効果ガス#福島原発事故放射能汚染水#再稼働,4.0,"トリチウム, 海, 事故, 流す, 反対, 含む, 放射, 東京電力, 物質, 放射能"
「放出には新たな設備が必要で、原子力規制委員会の審査や整備に2年程度かかる見通し。海洋放出は、こうした手続きなどを経た後になる」汚染処理水の海洋放出決定へ政府方針、月内にも福島第1原発-毎日新聞https://t.co/QlED9dX4IF,0.0,"政府, 決定, 方針, 処分, 月内, 首相, 来月, 延期, 責任, 決める"
@truepark1今日ニュース見てみたら9万人超えててびっくりしました。思わず「東アジアの恥だ!」って言ってしまった...。今日は原発汚染水の事、コロナ重症者が増えてる事、運転免許証を2026年までにデジタルにする事などが主なニュース内容でした。,2.0,"韓国, 日本, 科学, 世界, 事実, 日本_産_水産物, 輸入_全面_中止, 韓国_国会_議長, 評価_拒絶, 中国"
強硬なところは強硬なのにこういうことには腰が引けるうちの政府は頼りない。責任もって安全性を説明しながら進めたらいいのに。https://t.co/IBq7oprTqN政府、海洋放出の月内決定断念＝２７日の関係閣僚会議見送り―原発処理水,0.0,"政府, 決定, 方針, 処分, 月内, 首相, 来月, 延期, 責任, 決める"
すれば良い‼️大韓民国の原発汚染処理水の放射線量もサラサレ、日本と比較の数値が世界に公表され、巨大なブーメランとなって大韓民国に直撃🇯🇵,2.0,"韓国, 日本, 科学, 世界, 事実, 日本_産_水産物, 輸入_全面_中止, 韓国_国会_議長, 評価_拒絶, 中国"
菅政権の政策に反対します。海洋放出を政府が決定へ福島第一原発の汚染処理水：東京新聞TOKYOWebhttps://t.co/POMBav2UNq,1.0,"風評, 被害, 反対, 問題, 菅, 国民, 漁業, 政権, 意見, 対策"
維新は人の命をなんだと思ってるんだ。PCR検査を抑制したり、福島の汚染水を東京湾や大阪湾に流そうとしてみたり。福島原発事故と新型コロナウイルスは、恐ろしいほど無責任な人間をあぶり出す。,3.0,"大阪, 東京, 湾, 知事, 必要, 言及, 韓, 発, 吉村, 水吉"
本気で言ってるなら韓国の原発に言及しないとなグリーンピース「日本政府、福島放射性汚染水の危険を縮小」（中央日報日本語版）-Yahoo!ニュースhttps://t.co/b6cGH2VY52,4.0,"トリチウム, 海, 事故, 流す, 反対, 含む, 放射, 東京電力, 物質, 放射能"
原発処理水の海洋放出決定へ#Yahooニュースhttps://t.co/fETjef7iSD,0.0,"政府, 決定, 方針, 処分, 月内, 首相, 来月, 延期, 責任, 決める"
官邸や自民会館の飲料水にすりゃいいじゃん。福島第1原発の処理水海洋放出～科学的に「飲める」までに浄化されているという事実(ニッポン放送)#Yahooニュースhttps://t.co/JRBOmogd8q,2.0,"韓国, 日本, 科学, 世界, 事実, 日本_産_水産物, 輸入_全面_中止, 韓国_国会_議長, 評価_拒絶, 中国"
世界的に認められたレベルにした後の排水であり、単なる処理水が正しい。経済紙の日経はさすが！もしこれを汚染水と呼ぶなら他国の原発からも汚染水が流れていることになる。朝日毎日東京は本当に日本国が嫌いで恣意的な報道だね。,4.0,"トリチウム, 海, 事故, 流す, 反対, 含む, 放射, 東京電力, 物質, 放射能"
このニュースを読んだ上で知ってほしいのが、韓国の月城原発から出ている処理水の放射線量は、福島第一原発処理水の100倍以上なんですね😌韓国もその処理水を放出しているんですが、日本には厳しいですな。韓国知事トリチウムなどを含む水海洋放出しないよう求めるhttps://t.co/HIJjhTn40A,2.0,"韓国, 日本, 科学, 世界, 事実, 日本_産_水産物, 輸入_全面_中止, 韓国_国会_議長, 評価_拒絶, 中国"
ばっかじゃなかろか。原発新設など。あんたらは死ぬ年だからいいけど、私ら以降の若者には人災原発事故は二度とごめん。福島原発の後遺症、未だに風評被害と、実害の汚染水汚染土壌の始末もできてないのに。地震国日本がお金で市町村を次々と釣り原発稼働する。いい加減にしろ。雇用は農林水教育で,1.0,"風評, 被害, 反対, 問題, 菅, 国民, 漁業, 政権, 意見, 対策"
@pbarakan@bealive2020そんなに処理水が怖いなら、日本近海の海産物は韓国原発に汚染されてるから食べない方がいいですよ。https://t.co/owDsvEyTRU,4.0,"トリチウム, 海, 事故, 流す, 反対, 含む, 放射, 東京電力, 物質, 放射能"
【日本の解き方】原発「処理水」の海洋放出決断、当たり前のことをやる菅政権風評被害あおる一部マスコミの報道姿勢https://t.co/Q41Fn1fXuQ@zakdeskより,1.0,"風評, 被害, 反対, 問題, 菅, 国民, 漁業, 政権, 意見, 対策"
原発処理水とかPCR検査とかで判明していることを理解するのは難解ではないと思うんだけど、科学よりも自分の考えの方が正しいと思い込んでしまう人が一定数いるのはなんでなんだろうな。,4.0,"トリチウム, 海, 事故, 流す, 反対, 含む, 放射, 東京電力, 物質, 放射能"
カンニング竹山原発処理水海洋放出は保留いま話し合わないでどうすんの？〈dot.〉(AERAdot.)#Yahooニュースhttps://t.co/5JEefk4P8s,1.0,"風評, 被害, 反対, 問題, 菅, 国民, 漁業, 政権, 意見, 対策"
国連、日本に汚染水の海洋放出に関する決定の先延ばしを求める福島第１原発:https://t.co/nEOr47I3Jz,0.0,"政府, 決定, 方針, 処分, 月内, 首相, 来月, 延期, 責任, 決める"
福島原発汚染水を海に捨てるな！緊急行動日時10月27日（火）18:00～18:45場所衆議院第二議員会館前主催・よびかけさようなら原発1000万人アクション実行委員会呼びかけ人鎌田慧さんhttps://t.co/Kjydt1Qqo9,1.0,"風評, 被害, 反対, 問題, 菅, 国民, 漁業, 政権, 意見, 対策"
