created_at,date,month,user_id_str,user_name,user_full_name,full_text,user_verified,urls,retweet_count,favorite_count,media,political elite,other
2021-04-09T06:46:14+00:00,2021-04-09,2021-04,480376267,sputnik_jp,Sputnik 日本,"福島第一処理水　日本政府、海洋放出の方針固める
https://t.co/uc5T28OzBj

NHKは9日、東京電力福島第一原子力発電所の放射性物質を含んだ処理水の処分方法について、日本政府は海洋放出を決定する方針を固めたと報じた。",True,https://t.co/uc5T28OzBj,14,26,1,0,0
2021-04-09T06:46:48+00:00,2021-04-09,2021-04,562773398,Sankei_news,産経ニュース,"平沢復興相、処理水放出による風評被害に「万全の対策」 https://t.co/X0z12kk0la 

平沢勝栄復興相は９日の記者会見で、政府が近日中に判断する東京電力福島第１原発の処理水の海洋放出に関し「仮に決定した場合、風評被害が起こるようであれば万全の対策を講じていく」と述べた。",True,https://t.co/X0z12kk0la,30,85,1,0,0
2021-04-09T06:46:58+00:00,2021-04-09,2021-04,87357522,asahi_tokyo,朝日新聞コブク郎,"福島第一原発の処理水、海洋放出の基本方針決定へ
https://t.co/kIgBI6OvP1

政府は13日にも関係閣僚らによる会議を開く見通しです。

処理済み汚染水の処分方針が決まれば、初めて。海洋放出には、漁業者らの反発が根強く残っています。 https://t.co/VjAaqq97OZ",True,https://t.co/kIgBI6OvP1,33,22,1,0,0
2021-04-09T06:46:58+00:00,2021-04-09,2021-04,87357522,asahi_tokyo,朝日新聞コブク郎,"福島第一原発の処理水、海洋放出の基本方針決定へ
https://t.co/kIgBI6OvP1

政府は13日にも関係閣僚らによる会議を開く見通しです。

処理済み汚染水の処分方針が決まれば、初めて。海洋放出には、漁業者らの反発が根強く残っています。 https://t.co/VjAaqq97OZ",True,https://t.co/kIgBI6OvP1,33,23,1,0,0
2021-04-09T06:50:14+00:00,2021-04-09,2021-04,1346697481,asahi_photo,朝日新聞 映像報道部,"福島第一原発の処理水、海洋放出の基本方針決定へ
https://t.co/c3tjkBeoTK 
福島第一原発にたまる処理済み汚染水の処分方針について、政府は13日にも、放射性物質の濃度を、法令の基準より十分低くした処理水にしたうえで、海洋放出する基本方針を決定する見込みです。（志）",True,https://t.co/c3tjkBeoTK,10,6,1,0,0
2021-04-09T06:50:14+00:00,2021-04-09,2021-04,1346697481,asahi_photo,朝日新聞 映像報道部,"福島第一原発の処理水、海洋放出の基本方針決定へ
https://t.co/c3tjkBeoTK 
福島第一原発にたまる処理済み汚染水の処分方針について、政府は13日にも、放射性物質の濃度を、法令の基準より十分低くした処理水にしたうえで、海洋放出する基本方針を決定する見込みです。（志）",True,https://t.co/c3tjkBeoTK,10,7,1,0,0
2021-04-09T07:00:31+00:00,2021-04-09,2021-04,752770992955469824,BFJNews,BuzzFeed Japan News,"【速報】政府は4月9日、福島第一原発から排出されている処理水を海洋放出する方針を固めました。

処理水とは何か。なぜ処分をすべきか。国や政治家の責任は。

これは、決して福島だけの問題ではありません。Yahoo! JAPANとの共同企画で取材した過去記事を紹介します。
https://t.co/bbXE1ZePtX",True,https://t.co/bbXE1ZePtX,39,54,1,0,0
2021-04-09T07:01:16+00:00,2021-04-09,2021-04,265170710,FKSminpo,福島民報,＜速報＞原発処理水を海洋放出へ　政府、１３日にも閣僚会議 福島民報 https://t.co/eY7C1brY6S @FKSminpoより,True,https://t.co/eY7C1brY6S,11,18,1,0,0
2021-04-09T07:03:49+00:00,2021-04-09,2021-04,265170710,FKSminpo,福島民報,＜速報＞原発処理水を海洋放出へ　政府、１３日にも閣僚会議 https://t.co/eY7C1banfk 福島民報 [県内ニュース] #fukushima #福島 #トップニュース,True,https://t.co/eY7C1banfk,21,28,1,0,0
2021-04-09T07:05:42+00:00,2021-04-09,2021-04,263047859,asahi_fukushima,朝日新聞福島総局,福島第一原発の処理水、海洋放出の基本方針決定へ：朝日新聞デジタル https://t.co/pJySLh7Tgu,True,https://t.co/pJySLh7Tgu,4,6,1,0,0
2021-04-09T07:07:56+00:00,2021-04-09,2021-04,1240672056,kyodo_official,共同通信公式,福島第1原発処理水、海洋放出へ　風評被害対策、課題に https://t.co/jzQSO2pztC,True,https://t.co/jzQSO2pztC,13,21,1,0,0
2021-04-09T07:18:01+00:00,2021-04-09,2021-04,97244324,hatoyamayukio,鳩山友紀夫（由紀夫）Yukio Hatoyama,政府はトリチウムを含んだ原発からの処理水を海洋放出することを決めた。ちょっと待った！私の所にある上場企業から実証実験でガスハイドレート法により海洋放出の運用基準以下にトリチウムを抑えることができたと報告があったばかりだ。漁業者の声を聞いて、トリチウムを除去してから海に流すべきだ。,True,,1320,2562,0,1,0
2021-04-09T07:19:56+00:00,2021-04-09,2021-04,218295612,adachiyasushi,足立康史,"原発処理水、海洋放出決定へ　13日にも関係閣僚会議　福島第1、漁業者反発必至
#Yahooニュース
https://t.co/fk4k4kGwIZ
↑
本日午後、衆院内閣委の終了後、香港フェニックステレビ（鳳凰衛視）https://t.co/cIqoyZRSij の取材を受けましたので、科学的に考えれば問題ないことが分かると解説しました。",True,"https://t.co/fk4k4kGwIZ , https://t.co/cIqoyZRSij",162,943,0,1,0
2021-04-09T07:20:55+00:00,2021-04-09,2021-04,272935216,iwatenippo,岩手日報,"号外「原発処理水 海洋放出へ」を電子新聞「岩手日報デジタル版」で配信しました。会員登録（無料）すると、閲覧できます。
#岩手日報 #号外
https://t.co/r4wk92tpWy",True,https://t.co/r4wk92tpWy,15,19,1,0,0
2021-04-09T07:27:10+00:00,2021-04-09,2021-04,2540766846,asahi_kankyo,朝日新聞環境取材チーム,福島第一原発の処理水、海洋放出の基本方針決定へ：朝日新聞デジタル https://t.co/gS2PDvfD2e,True,https://t.co/gS2PDvfD2e,1,0,1,0,0
2021-04-09T07:30:01+00:00,2021-04-09,2021-04,268213306,tokyo_shimbun,東京新聞（TOKYO Web）,"【社会】福島第一原発の汚染処理水、政府が海洋放出の方針を決定へ　13日にも関係閣僚会議
https://t.co/h9koDUkZmI",True,https://t.co/h9koDUkZmI,22,21,1,0,0
2021-04-09T07:32:02+00:00,2021-04-09,2021-04,624214070,JCC_NEWS,JCC株式会社,2021/04/09 BS1 ＢＳニュース 政府・福島第一原発処理水・海洋放出方針固める 東京電力福島第一原子力発電所で増え続けるトリチウムなど放射性物質を含む水の処分方法について、政府は来.. https://t.co/O85bEYAQF3 798,True,https://t.co/O85bEYAQF3,0,0,0,0,1
2021-04-09T07:32:22+00:00,2021-04-09,2021-04,174964999,kyoto_np,京都新聞,福島第１原発処理水、海洋放出へ　風評被害対策、課題に | 京都新聞 https://t.co/JWGMk4uSw8,True,https://t.co/JWGMk4uSw8,0,5,1,0,0
2021-04-09T08:04:33+00:00,2021-04-09,2021-04,1072373414029971456,47news_official,47NEWS,原発処理水を海洋放出へ 政府、13日にも閣僚会議 https://t.co/PK9nsszGIE #KyodoNews #動画ニュース #共同通信,True,https://t.co/PK9nsszGIE,2,3,1,0,0
